xai_id,condition,architecture,seed,sample_index,sampling_stratum,image_id,true_label,prob_pneumonia,threshold,pred_label,is_correct,gcam_lrr_plus,gcam_lrr_abs,gcam_lrr_chance,gcam_lrr_enrichment,guided_gcam_lrr_plus,guided_gcam_lrr_abs,guided_gcam_lrr_enrichment,gcam_pointing_inside_lung,guided_gcam_pointing_inside_lung,gcam_argmax_x,gcam_argmax_y,guided_gcam_argmax_x,guided_gcam_argmax_y,gcam_deletion_auc,gcam_insertion_auc,guided_gcam_deletion_auc,guided_gcam_insertion_auc,gcam_input_stability_lrr_delta,guided_gcam_input_stability_lrr_delta,gcam_head_randomization_corr,guided_gcam_head_randomization_corr,checkpoint_path
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,2024,0,normal,E-03B36F677CCFA6787A3BC686.jpeg,0,0.8334906674367956,0.65234375,1,0,0.33208546722693644,0.3320854604244232,0.3590850830078125,0.9248099766364045,0.25939060609080683,0.25939059257507324,0.7223653066233424,0,0,0,144,7,136,0.7119702978363444,0.9069231336491057,0.75990988201092,0.9190090642254899,0.0027672581125600115,0.005198211362869576,-0.055114197841221235,0.2947163908964275,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_2024/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,2024,1,normal,E-06530ECE35CCF9FF05F7DDEB.jpeg,0,0.02307807527184635,0.65234375,0,1,0.30287054153746645,0.3028705418109894,0.2779541015625,1.0896422820706742,0.3900485929812445,0.3900485932826996,1.403284178174069,0,1,112,207,104,182,0.6322045751933938,0.9171492223709208,0.6938915184620789,0.937156138412129,0.0012886563441483756,0.0069830104304192675,-0.24346242206737678,-0.07161712734228128,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_2024/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,2024,2,normal,E-10FEC5D206E4A3A02E4F32C9.jpeg,0,0.6457162286292418,0.65234375,0,1,0.4463849936510662,0.446384996175766,0.2476806640625,1.8022601616508303,0.467975016577443,0.46797502040863037,1.8894289481529882,1,0,207,144,67,45,0.1444998942682749,0.2916335529372085,0.15399277551026602,0.3549929949578474,0.009215875642783478,0.016079371857297298,0.7471352571689313,0.6618156232006399,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_2024/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,2024,3,normal,E-16E04AC17A9CE052EFE7227B.jpeg,0,0.07834548394508944,0.65234375,0,1,0.41607479617524595,0.4160747826099396,0.3753509521484375,1.1084953795740038,0.34084624485539283,0.3408462405204773,0.9080734787122657,1,0,80,112,81,17,0.6269537090060386,0.8322865104974603,0.6958745549161724,0.8739469098804729,0.0015012450990867232,0.0019783319369417462,0.39748788236085114,0.42728013881737675,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_2024/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,2024,4,normal,E-256958BC036CED77CAAB2A55.jpeg,0,0.36071967868097626,0.65234375,0,1,0.3704687950827887,0.37046879529953003,0.3496246337890625,1.0596186860972217,0.2979182365281,0.2979182302951813,0.8521088268278079,0,0,80,0,68,2,0.45194552173996144,0.5413605476635457,0.5036650172178041,0.5756061922581315,0.0047795476860737485,0.008614486265032695,0.7417465290222405,0.8517149192789674,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_2024/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,2024,5,normal,E-280031A047E47DC7EA750C62.jpeg,0,0.3494747505049739,0.65234375,0,1,0.6702738864353224,0.6702739000320435,0.3791046142578125,1.7680446537100136,0.761379120787868,0.7613791227340698,2.0083615238459935,1,1,80,112,78,128,0.3294800650837912,0.4786590546908271,0.3221242297633908,0.5741039371955364,0.00011782981337227216,0.0020019528557676525,0.7358537699628093,0.6856891640047523,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_2024/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,2024,6,normal,E-28020DB22FEE86C7B17E72DA.jpeg,0,0.3847775772077589,0.65234375,0,1,0.18598935711076509,0.1859893500804901,0.3710174560546875,0.5012954352297389,0.05083445986371755,0.05083445832133293,0.13701366077024854,0,0,80,0,69,33,0.27134820717551045,0.4713721777446903,0.29673538520007986,0.479744102273163,0.00034959527575020855,0.002923999226643742,-0.07831645335574465,-0.017480696514579678,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_2024/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,2024,7,normal,E-28234EA54B2F1B13D8D5995E.jpeg,0,0.6113797428226025,0.65234375,0,1,0.5492354890061134,0.549235463142395,0.3462677001953125,1.5861585954922068,0.6215776270496438,0.6215776205062866,1.795078278161788,0,1,207,207,199,198,0.3010696413832006,0.37944359447866405,0.2765078051530625,0.4213916384029682,0.001667046560887564,0.012653898785101148,-0.0871937359780954,-0.021653844937247535,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_2024/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,2024,8,normal,E-28CAAFCB1AFEEA2D46764B17.jpeg,0,0.829860285091402,0.65234375,1,0,0.24550743478412754,0.24550743401050568,0.38934326171875,0.6305680845748778,0.1315254831370124,0.13152548670768738,0.33781368799448364,0,0,176,0,170,15,0.6481582392624392,0.9098871415580007,0.7252896619587563,0.9105809688866222,0.0005183816373636463,0.0006724099417769747,-0.29635735674302194,-0.040201901528616996,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_2024/best_checkpoint.pt
E03_XAI_R_C0_ResNet50,R-C0,ResNet50,2024,9,normal,E-29AE82E82E5A6A48DC6D8B99.jpeg,0,0.17841587523741181,0.65234375,0,1,0.18781019483181044,0.18781019747257233,0.3269195556640625,0.5744844307350072,0.12457976436371637,0.1245797649025917,0.38107161901239284,0,0,80,0,80,23,0.3663692305974943,0.7762234890630226,0.4419284732709463,0.7970700602038635,0.00027941761413602384,0.004597401057469905,0.7904023876977819,0.7705242978801878,/kaggle/input/datasets/hintrngia/locked-resnet-xai-inputs/R-C0/ResNet50/seed_2024/best_checkpoint.pt
