image_id,true_label,pred_label,outcome,control_gcam_lrr,control_guided_lrr,proposed_gcam_lrr,proposed_guided_lrr,gcam_delta,guided_delta,control_gcam_pointing,control_guided_pointing,proposed_gcam_pointing,proposed_guided_pointing
E-03B36F677CCFA6787A3BC686.jpeg,0,1,FP,0.4038339934435544,0.3823818302872047,0.7259737454216507,0.7925285691457234,0.3221397519780963,0.41014673885851877,1,0,1,1
E-06530ECE35CCF9FF05F7DDEB.jpeg,0,0,TN,0.3003671894786802,0.3078669110295216,0.75438769142535,0.7193977524039128,0.4540205019466698,0.4115308413743912,0,0,1,1
E-10FEC5D206E4A3A02E4F32C9.jpeg,0,0,TN,0.251283132740611,0.2768786736546553,0.6651269171634661,0.6993903115454471,0.4138437844228551,0.42251163789079177,0,0,1,1
E-16E04AC17A9CE052EFE7227B.jpeg,0,0,TN,0.3802974803273301,0.3068074266314746,0.8239923506746671,0.7854402756136027,0.44369487034733707,0.47863284898212816,0,0,1,1
E-256958BC036CED77CAAB2A55.jpeg,0,0,TN,0.345957757554643,0.3527446938237035,0.7376919790904899,0.6926225456672106,0.3917342215358469,0.3398778518435071,0,0,1,1
E-280031A047E47DC7EA750C62.jpeg,0,0,TN,0.4842514177044997,0.521103341875851,0.880556505426406,0.9044104399643916,0.39630508772190626,0.3833070980885407,1,0,1,1
E-28020DB22FEE86C7B17E72DA.jpeg,0,0,TN,0.1639368927954495,0.1110541625259835,0.7124546971043704,0.626926300060248,0.5485178043089208,0.5158721375342644,0,0,1,1
E-28234EA54B2F1B13D8D5995E.jpeg,0,0,TN,0.2515288442883574,0.2353389607132077,0.8471484891712746,0.820823627726089,0.5956196448829172,0.5854846670128813,0,0,1,1
E-28CAAFCB1AFEEA2D46764B17.jpeg,0,0,TN,0.3425136587821313,0.2710673983436785,0.940720750305627,0.9448123435150249,0.5982070915234956,0.6737449451713464,1,0,1,1
E-29AE82E82E5A6A48DC6D8B99.jpeg,0,0,TN,0.2281427470087669,0.2134272297844096,0.7972169183884634,0.7958205581381387,0.5690741713796965,0.582393328353729,0,0,1,1
E-2B646E91E652E02CC65E6BA0.jpeg,0,0,TN,0.3282623718916976,0.3942677313410356,0.7809701117513204,0.8040258670339908,0.45270773985962276,0.4097581356929552,0,0,1,1
E-2F227E134B6699426A9E9AB9.jpeg,0,1,FP,0.152540247739917,0.1354440733727884,0.7408246075859443,0.7209899426462929,0.5882843598460272,0.5855458692735045,0,0,1,1
E-2F5E9CF0C3839769BD6D37AD.jpeg,0,0,TN,0.1767669288515778,0.177142713766019,0.8354483153199846,0.82665644490352,0.6586813864684069,0.649513731137501,0,0,1,1
E-306538194ADB5E9E447B7A10.jpeg,0,0,TN,0.3025005424119156,0.3574657278554074,0.7309721869477117,0.7532632019168786,0.4284716445357961,0.39579747406147114,0,0,1,1
