image_id,true_label,pred_label,outcome,control_gcam_lrr,control_guided_lrr,proposed_gcam_lrr,proposed_guided_lrr,gcam_delta,guided_delta,control_gcam_pointing,control_guided_pointing,proposed_gcam_pointing,proposed_guided_pointing
E-03B36F677CCFA6787A3BC686.jpeg,0,1,FP,0.3798860904827328,0.3439814998490719,0.7008550519498308,0.7162410409709258,0.32096896146709797,0.3722595411218539,0,0,1,0
E-06530ECE35CCF9FF05F7DDEB.jpeg,0,0,TN,0.300494936128097,0.4124722735864141,0.7146069050938885,0.7569711065980818,0.41411196896579144,0.34449883301166767,0,1,1,0
E-10FEC5D206E4A3A02E4F32C9.jpeg,0,0,TN,0.1150020837824538,0.0565228099823854,0.7642324292270792,0.8735151630560573,0.6492303454446254,0.8169923530736718,0,0,1,1
E-16E04AC17A9CE052EFE7227B.jpeg,0,0,TN,0.3712415642023921,0.1681768180626707,0.7942296705993201,0.7688321093438234,0.422988106396928,0.6006552912811527,0,0,1,0
E-256958BC036CED77CAAB2A55.jpeg,0,0,TN,0.2391058717722404,0.1437146088262922,0.7803462448429944,0.8680134657810776,0.541240373070754,0.7242988569547855,0,0,1,1
E-280031A047E47DC7EA750C62.jpeg,0,0,TN,0.5036097178885689,0.5319384707720433,0.8365329650738311,0.9060668543637932,0.3329232471852622,0.37412838359174994,1,0,1,1
E-28020DB22FEE86C7B17E72DA.jpeg,0,0,TN,0.2841741857868304,0.1354175370953339,0.8162596816179396,0.7980762089746412,0.5320854958311092,0.6626586718793073,0,0,1,1
E-28234EA54B2F1B13D8D5995E.jpeg,0,0,TN,0.3024246667472953,0.4411464861439664,0.8113638607638101,0.8898106977707594,0.5089391940165148,0.448664211626793,0,1,1,1
E-28CAAFCB1AFEEA2D46764B17.jpeg,0,0,TN,0.5828539603923537,0.8675724374451347,0.8094460262787949,0.8842634880626239,0.2265920658864412,0.01669105061748921,1,1,1,1
E-29AE82E82E5A6A48DC6D8B99.jpeg,0,0,TN,0.3440119883117533,0.3428645177561323,0.7827774554622255,0.8337082885675123,0.43876546715047227,0.49084377081138003,1,1,1,0
E-2B646E91E652E02CC65E6BA0.jpeg,0,0,TN,0.3514458560850313,0.6771997656358184,0.7769929087227833,0.8402774867061779,0.42554705263775194,0.16307772107035945,1,1,1,1
E-2F227E134B6699426A9E9AB9.jpeg,0,1,FP,0.2951763212025575,0.2267566287199227,0.7311420392389719,0.8054861900419029,0.43596571803641443,0.5787295613219803,1,0,1,1
E-2F5E9CF0C3839769BD6D37AD.jpeg,0,0,TN,0.3814436741808459,0.3722011044577072,0.778633165245034,0.730248437522144,0.3971894910641881,0.35804733306443676,1,0,1,1
E-306538194ADB5E9E447B7A10.jpeg,0,0,TN,0.3677427589268339,0.4219932204313418,0.7273651399120558,0.7979660475516817,0.35962238098522187,0.37597282712033986,1,0,1,1
