manifest_id,sample_seed,sample_index,sampling_stratum,image_id,image_path_or_archive_member,image_sha256,mask_id,mask_path,mask_sha256,true_label
xai_sample_manifest_128_seed3407_balanced_64_64,3407,0,normal,E-03B36F677CCFA6787A3BC686.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-03B36F677CCFA6787A3BC686.jpeg,88af6f358085a5c5f91e843ee8da27499c4949ec9573efb6b620365272133c22,E-03B36F677CCFA6787A3BC686.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-03B36F677CCFA6787A3BC686.jpeg,3ef8c6524d47433439113bdfbfb977153bc27b44768d2fc38a75db3096495118,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,1,normal,E-06530ECE35CCF9FF05F7DDEB.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-06530ECE35CCF9FF05F7DDEB.jpeg,f2fce9977273b2ae4eeacdb287fe3cfaf0d94cbca0f4b90600a4a3d8861a74d7,E-06530ECE35CCF9FF05F7DDEB.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-06530ECE35CCF9FF05F7DDEB.jpeg,610287483d7389e015217226182803c8e6b6aece72985d3b89f8be81c6f283b3,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,2,normal,E-10FEC5D206E4A3A02E4F32C9.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-10FEC5D206E4A3A02E4F32C9.jpeg,fae2085830a4c703c36348b3ccc2a5ddfd741c86f12dbef48d4a8a31726ae773,E-10FEC5D206E4A3A02E4F32C9.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-10FEC5D206E4A3A02E4F32C9.jpeg,6bc1e02f7a0e0e0ea077145a443efaae2bedbe36c2ed063644fe05169a2ee65d,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,3,normal,E-16E04AC17A9CE052EFE7227B.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-16E04AC17A9CE052EFE7227B.jpeg,709bd31b819c3536136c7c8ba287cd43d226185ebb55e41bfcf7cf43d613f451,E-16E04AC17A9CE052EFE7227B.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-16E04AC17A9CE052EFE7227B.jpeg,5decfa6246c89a8de13947f0844e10e4addc047451da1647b10c131598895663,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,4,normal,E-256958BC036CED77CAAB2A55.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-256958BC036CED77CAAB2A55.jpeg,44260268645a29bb52e54627f727d43be0611fdd6b675e836a07c6543fe4720c,E-256958BC036CED77CAAB2A55.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-256958BC036CED77CAAB2A55.jpeg,8ef6b976cbb7c78295b4fc8cbdbbf8cbcef7bfa2c2b98484aa0b2dcb57af56d2,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,5,normal,E-280031A047E47DC7EA750C62.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-280031A047E47DC7EA750C62.jpeg,aa0d938780b50b9a8aeb01eef7909e217002f864d76f285b305387bb90c4bca7,E-280031A047E47DC7EA750C62.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-280031A047E47DC7EA750C62.jpeg,d159cac57e9251de699c396f54bbc25808c53183a1bb6d766042ff8ff10a55e5,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,6,normal,E-28020DB22FEE86C7B17E72DA.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-28020DB22FEE86C7B17E72DA.jpeg,b65d75dba66ade2f0eca44640c0cadc18dccb17f25707c6152dd797695475d58,E-28020DB22FEE86C7B17E72DA.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-28020DB22FEE86C7B17E72DA.jpeg,8c71f6bc8c211db3ed48191f31c4caeb863eb39aec7fa9852f75513acd800ec6,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,7,normal,E-28234EA54B2F1B13D8D5995E.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-28234EA54B2F1B13D8D5995E.jpeg,1266232157dbef06850fc27a1d70b24bf7a690d382e6036ce93b068dd2733fc6,E-28234EA54B2F1B13D8D5995E.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-28234EA54B2F1B13D8D5995E.jpeg,2a129d4f3b3038931b8383597dc9d71207e6e74c200b52aa8c8ee7ce9369252f,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,8,normal,E-28CAAFCB1AFEEA2D46764B17.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-28CAAFCB1AFEEA2D46764B17.jpeg,100ad9b7d16cc0dde503eccf84392087e68912291ed251c21ecc0378b7f5774f,E-28CAAFCB1AFEEA2D46764B17.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-28CAAFCB1AFEEA2D46764B17.jpeg,8bd22562b246abed8b207c0331226d583a55eb58626cd5c04195203da13456e6,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,9,normal,E-29AE82E82E5A6A48DC6D8B99.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-29AE82E82E5A6A48DC6D8B99.jpeg,6996504cf378e5eb39b3d84585cc895a4261434813747a3258e55d9399cb8862,E-29AE82E82E5A6A48DC6D8B99.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-29AE82E82E5A6A48DC6D8B99.jpeg,42887ed34aa20e775021321a3735fd8f04960a1904e81d52af1411dfaec0f68c,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,10,normal,E-2B646E91E652E02CC65E6BA0.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-2B646E91E652E02CC65E6BA0.jpeg,2399707ead03e0f2824d43ba34b2a292e8c0fc3d204e3e2f6c783f846fe86fd8,E-2B646E91E652E02CC65E6BA0.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-2B646E91E652E02CC65E6BA0.jpeg,845e3c47eed0e5594857c43a009e025004bafcd16822f83dabd0319e0d2077ee,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,11,normal,E-2F227E134B6699426A9E9AB9.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-2F227E134B6699426A9E9AB9.jpeg,2d46360976db341fc5f624aa56081ebf90f975620424035881c2a452e11bc764,E-2F227E134B6699426A9E9AB9.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-2F227E134B6699426A9E9AB9.jpeg,100d5e87820fa9cb3bb8e7828d61df4388e6f91a7154cbe7cc3f769d45e8636f,0
xai_sample_manifest_128_seed3407_balanced_64_64,3407,12,normal,E-2F5E9CF0C3839769BD6D37AD.jpeg,/kaggle/input/datasets/hintrngia/gate7-test-seal/opaque_test_images/images/E-2F5E9CF0C3839769BD6D37AD.jpeg,23a6157210bf7a7f0df93de9e79e559b6767c1c72db0756d9af0e49046545903,E-2F5E9CF0C3839769BD6D37AD.jpeg,/kaggle/input/datasets/hintrngia/cxr-lung-masks/lung_masks/E-2F5E9CF0C3839769BD6D37AD.jpeg,dda1dcdf9c95e70addf4762f0cebb8e9053beb5b3c734fc1f27715324c65fede,0
